equipment_id,hospital_id,equipment_name,manufacturer,purchase_date,maintenance_due,status,cost,source_file
1,1,Incubator,Fresenius,2019-11-07,2021-02-08,Under Maintenance,4009330.44,equipment.csv
2,1,Ultrasound Machine,Dräger,2024-12-17,2026-06-06,Operational,9180180.5,equipment.csv
3,1,Infusion Pump,Fresenius,2018-11-11,2020-03-22,Out of Service,20597133.16,equipment.csv
4,1,Ultrasound Machine,Fresenius,2019-02-16,2020-01-16,Out of Service,12155168.3,equipment.csv
5,1,Ultrasound Machine,Fresenius,2011-12-23,2013-02-09,Out of Service,6366915.71,equipment.csv
6,1,Operating Table,Fresenius,2013-11-01,2014-06-19,Under Maintenance,14942905.83,equipment.csv
7,1,Hospital Bed,Mindray,2018-09-30,2020-05-22,Operational,10049826.85,equipment.csv
8,1,Patient Monitor,Dräger,2011-10-08,2012-11-09,Operational,316997.8,equipment.csv
9,1,Oxygen Concentrator,Baxter,2016-05-31,2017-11-17,Operational,10266415.39,equipment.csv
10,1,Defibrillator,Philips,2023-02-20,2024-07-18,Out of Service,1042026.22,equipment.csv
11,1,Oxygen Concentrator,Mindray,2015-09-11,2017-09-05,Out of Service,12238159.95,equipment.csv
12,1,Anesthesia Machine,Medtronic,2016-02-12,2017-11-18,Operational,11194961.74,equipment.csv
13,1,CT Scanner,Siemens,2023-09-30,2025-06-25,Out of Service,4052546.42,equipment.csv
14,1,Patient Monitor,Baxter,2023-06-25,2024-08-26,Out of Service,13203171.46,equipment.csv
15,1,Oxygen Concentrator,Dräger,2019-03-02,2019-12-06,Under Maintenance,23991896.7,equipment.csv
16,1,Dialysis Machine,Fresenius,2022-12-30,2024-07-25,Operational,3813021.99,equipment.csv
17,1,Patient Monitor,Baxter,2015-06-27,2016-07-11,Under Maintenance,747322.77,equipment.csv
18,1,CT Scanner,Dräger,2024-07-30,2025-05-29,Operational,11362329.85,equipment.csv
19,1,Ventilator,Mindray,2023-07-29,2025-05-01,Operational,21663294.14,equipment.csv
20,1,Defibrillator,Dräger,2022-08-19,2023-05-09,Operational,12684439.69,equipment.csv
21,1,Defibrillator,Fresenius,2016-04-09,2016-12-09,Operational,22330684.76,equipment.csv
22,1,Defibrillator,Baxter,2020-06-19,2022-05-05,Under Maintenance,24795235.2,equipment.csv
23,1,Hospital Bed,Mindray,2025-03-17,2025-12-11,Operational,13465469.38,equipment.csv
24,1,X-Ray Machine,Fresenius,2021-04-13,2021-12-23,Operational,20934334.03,equipment.csv
25,1,ECG Machine,GE Healthcare,2018-02-14,2019-07-29,Under Maintenance,17815449.73,equipment.csv
26,1,Anesthesia Machine,Medtronic,2013-06-28,2014-02-22,Operational,8000539.21,equipment.csv
27,1,Operating Table,Mindray,2015-08-26,2017-06-26,Operational,6214971.31,equipment.csv
28,1,Operating Table,Medtronic,2012-12-18,2014-04-21,Under Maintenance,4878204.67,equipment.csv
29,1,Ultrasound Machine,Mindray,2025-03-27,2026-07-07,Out of Service,10130033.92,equipment.csv
30,1,Ultrasound Machine,Siemens,2025-06-06,2026-05-18,Operational,6459551.62,equipment.csv
31,1,Incubator,Baxter,2014-03-31,2015-01-14,Operational,23691526.67,equipment.csv
32,1,Incubator,GE Healthcare,2020-11-23,2021-09-27,Operational,23181221.49,equipment.csv
33,1,Infusion Pump,Philips,2024-12-25,2026-12-24,Operational,7726322.78,equipment.csv
34,1,Dialysis Machine,Dräger,2022-03-28,2023-02-19,Out of Service,24295893.82,equipment.csv
35,1,Patient Monitor,Dräger,2017-06-23,2018-05-31,Operational,16631627.69,equipment.csv
36,1,Ventilator,Mindray,2024-09-13,2026-02-04,Out of Service,23685531.06,equipment.csv
37,1,Defibrillator,Dräger,2015-08-08,2017-04-16,Operational,7777636.27,equipment.csv
38,1,ECG Machine,Fresenius,2025-02-01,2026-06-22,Operational,23936359.56,equipment.csv
39,1,Infusion Pump,Philips,2015-08-10,2016-10-06,Operational,6580406.62,equipment.csv
40,1,Ventilator,Mindray,2012-04-24,2013-12-21,Under Maintenance,16765940.77,equipment.csv
41,1,Operating Table,Fresenius,2019-02-11,2020-03-14,Out of Service,7127629.46,equipment.csv
42,1,Anesthesia Machine,Dräger,2020-10-15,2022-09-24,Under Maintenance,10285002.54,equipment.csv
43,1,Anesthesia Machine,Fresenius,2021-09-30,2023-06-19,Under Maintenance,21201529.32,equipment.csv
44,1,CT Scanner,Mindray,2024-07-13,2025-02-07,Operational,15378930.23,equipment.csv
45,1,Patient Monitor,Dräger,2021-07-13,2022-10-22,Out of Service,6432211.79,equipment.csv
46,1,X-Ray Machine,Mindray,2017-08-28,2019-03-25,Operational,3155481.64,equipment.csv
47,1,Hospital Bed,Mindray,2021-01-08,2022-11-21,Out of Service,22257492.45,equipment.csv
48,1,Operating Table,GE Healthcare,2016-12-12,2018-07-22,Operational,10957616.09,equipment.csv
49,1,Oxygen Concentrator,Baxter,2014-05-04,2015-03-18,Under Maintenance,4424063.25,equipment.csv
50,1,Incubator,Mindray,2022-09-04,2024-05-25,Under Maintenance,1612154.35,equipment.csv
51,1,Defibrillator,Siemens,2014-03-31,2015-11-22,Operational,12133785.67,equipment.csv
52,1,ECG Machine,Baxter,2020-04-07,2022-03-03,Under Maintenance,23277735.14,equipment.csv
53,1,Incubator,Dräger,2020-07-24,2021-07-24,Operational,3622743.55,equipment.csv
54,1,MRI Scanner,Dräger,2026-04-28,2027-08-29,Under Maintenance,19751252.56,equipment.csv
55,1,Ultrasound Machine,Fresenius,2017-07-13,2019-03-05,Out of Service,6000022.84,equipment.csv
56,1,X-Ray Machine,Baxter,2015-09-03,2017-01-29,Operational,12430880.62,equipment.csv
57,1,Infusion Pump,Siemens,2015-10-06,2017-02-01,Under Maintenance,10536826.82,equipment.csv
58,1,X-Ray Machine,Medtronic,2017-03-07,2018-12-14,Operational,15000852.1,equipment.csv
59,1,CT Scanner,Mindray,2012-05-01,2013-11-30,Out of Service,15803528.08,equipment.csv
60,1,Operating Table,Fresenius,2017-11-03,2019-05-12,Operational,16487093.01,equipment.csv
61,1,CT Scanner,Mindray,2018-05-18,2020-02-27,Operational,8661775.58,equipment.csv
62,1,Anesthesia Machine,Siemens,2020-03-14,2021-02-17,Operational,23437331.71,equipment.csv
63,1,Dialysis Machine,Dräger,2018-06-05,2019-12-01,Operational,5403975.46,equipment.csv
64,1,Dialysis Machine,Mindray,2025-11-11,2027-06-25,Out of Service,1285118.53,equipment.csv
65,1,Infusion Pump,Medtronic,2022-04-05,2023-07-09,Under Maintenance,18496821.33,equipment.csv
66,1,MRI Scanner,Medtronic,2016-04-03,2016-10-13,Out of Service,8320874.26,equipment.csv
67,1,X-Ray Machine,GE Healthcare,2012-04-26,2013-01-15,Out of Service,2267791.01,equipment.csv
68,1,Ventilator,Baxter,2020-05-17,2021-04-26,Operational,22467710.38,equipment.csv
69,1,Ventilator,GE Healthcare,2016-03-29,2017-07-01,Under Maintenance,691116.57,equipment.csv
70,1,Oxygen Concentrator,Mindray,2022-09-26,2024-02-17,Operational,702720.32,equipment.csv
71,1,CT Scanner,Philips,2019-08-24,2020-12-22,Operational,14306637.86,equipment.csv
72,1,Oxygen Concentrator,Dräger,2016-02-17,2017-02-06,Out of Service,18280010.12,equipment.csv
73,1,Dialysis Machine,Mindray,2016-05-01,2017-01-09,Operational,9793156.32,equipment.csv
74,1,Dialysis Machine,Philips,2018-12-27,2020-12-18,Out of Service,14486746.15,equipment.csv
75,1,MRI Scanner,Baxter,2021-12-31,2023-01-21,Operational,16054363.77,equipment.csv
76,1,Defibrillator,Mindray,2018-09-20,2020-04-24,Under Maintenance,21245475.04,equipment.csv
77,1,Dialysis Machine,Mindray,2024-01-02,2025-01-13,Operational,10727296.81,equipment.csv
78,1,Ultrasound Machine,Medtronic,2024-06-04,2026-01-26,Operational,8120341.95,equipment.csv
79,1,Patient Monitor,Dräger,2020-11-30,2021-12-17,Operational,11462022.0,equipment.csv
80,1,MRI Scanner,Dräger,2017-05-25,2018-03-18,Out of Service,2672740.2,equipment.csv
81,1,Dialysis Machine,Mindray,2016-02-16,2017-05-30,Operational,8452887.7,equipment.csv
82,1,X-Ray Machine,Medtronic,2013-10-20,2014-06-11,Under Maintenance,8717592.7,equipment.csv
83,1,Dialysis Machine,GE Healthcare,2022-08-15,2023-07-29,Operational,15961067.69,equipment.csv
84,2,Oxygen Concentrator,GE Healthcare,2020-06-24,2022-06-15,Operational,5781822.82,equipment.csv
85,2,ECG Machine,Fresenius,2014-07-16,2015-10-29,Operational,11129370.17,equipment.csv
86,2,Defibrillator,Dräger,2011-10-08,2012-09-08,Out of Service,7730145.38,equipment.csv
87,2,MRI Scanner,Baxter,2023-02-23,2023-12-13,Out of Service,17442915.59,equipment.csv
88,2,MRI Scanner,Medtronic,2026-05-06,2026-12-26,Out of Service,2536077.25,equipment.csv
89,2,Oxygen Concentrator,Philips,2025-01-22,2027-01-07,Operational,14540239.2,equipment.csv
90,2,ECG Machine,Dräger,2026-03-15,2027-04-19,Out of Service,8516615.47,equipment.csv
91,2,Operating Table,Medtronic,2013-04-24,2014-03-30,Operational,14817968.88,equipment.csv
92,2,MRI Scanner,Siemens,2026-03-08,2027-12-27,Operational,22347807.26,equipment.csv
93,2,Defibrillator,GE Healthcare,2014-02-09,2016-01-30,Out of Service,17686743.02,equipment.csv
94,2,Hospital Bed,Medtronic,2015-07-31,2017-04-30,Under Maintenance,11006509.41,equipment.csv
95,2,MRI Scanner,Dräger,2020-10-07,2021-06-22,Out of Service,23539565.83,equipment.csv
96,2,Dialysis Machine,Dräger,2025-02-05,2025-10-09,Out of Service,12799825.34,equipment.csv
97,2,Defibrillator,Medtronic,2024-03-13,2025-03-26,Operational,6496844.2,equipment.csv
98,2,X-Ray Machine,Siemens,2020-08-21,2021-08-07,Under Maintenance,10589540.64,equipment.csv
99,2,Oxygen Concentrator,Philips,2014-01-06,2015-04-12,Under Maintenance,17131822.51,equipment.csv
100,2,MRI Scanner,Medtronic,2020-02-02,2021-07-24,Under Maintenance,17387054.57,equipment.csv
101,2,Defibrillator,Dräger,2012-02-11,2012-08-31,Operational,24109082.76,equipment.csv
102,2,Ventilator,Dräger,2024-04-30,2025-06-05,Operational,21446261.75,equipment.csv
103,2,Dialysis Machine,Medtronic,2022-10-05,2024-08-20,Out of Service,6286386.65,equipment.csv
104,2,CT Scanner,Fresenius,2017-01-07,2017-11-12,Under Maintenance,3523427.21,equipment.csv
105,2,Dialysis Machine,Siemens,2022-08-14,2023-06-09,Out of Service,3461816.51,equipment.csv
106,2,Ventilator,GE Healthcare,2017-02-28,2018-11-01,Out of Service,6921566.41,equipment.csv
107,2,Incubator,Philips,2025-03-28,2026-11-11,Out of Service,1075408.23,equipment.csv
108,2,Patient Monitor,Baxter,2023-11-17,2024-10-18,Operational,3785004.8,equipment.csv
109,2,Patient Monitor,Philips,2022-12-11,2023-09-14,Out of Service,7113274.23,equipment.csv
110,2,Oxygen Concentrator,Siemens,2011-07-16,2012-03-02,Out of Service,7427984.5,equipment.csv
111,2,Oxygen Concentrator,Fresenius,2024-03-16,2025-04-06,Out of Service,15187359.75,equipment.csv
112,2,Oxygen Concentrator,Baxter,2018-05-31,2019-08-02,Under Maintenance,10095219.53,equipment.csv
113,2,MRI Scanner,Dräger,2016-01-12,2017-10-17,Under Maintenance,22203947.06,equipment.csv
114,2,Infusion Pump,Philips,2019-11-11,2021-07-28,Out of Service,8328010.21,equipment.csv
115,2,CT Scanner,Baxter,2025-06-02,2027-04-24,Under Maintenance,8457653.13,equipment.csv
116,2,CT Scanner,Siemens,2020-03-10,2021-11-27,Operational,11258525.82,equipment.csv
117,2,X-Ray Machine,Philips,2017-07-18,2018-01-14,Out of Service,22699432.79,equipment.csv
118,2,X-Ray Machine,Fresenius,2023-04-23,2024-11-04,Operational,13046009.59,equipment.csv
119,2,X-Ray Machine,Baxter,2021-06-08,2023-01-23,Under Maintenance,20892177.65,equipment.csv
120,2,Incubator,GE Healthcare,2016-08-11,2018-06-18,Out of Service,23479460.74,equipment.csv
121,2,ECG Machine,Dräger,2019-11-10,2021-01-20,Operational,5226627.25,equipment.csv
122,2,MRI Scanner,Dräger,2021-06-18,2023-04-16,Under Maintenance,15064394.22,equipment.csv
123,2,Hospital Bed,Fresenius,2018-09-02,2019-06-19,Out of Service,1692003.8,equipment.csv
124,2,X-Ray Machine,Medtronic,2011-12-05,2013-03-26,Out of Service,5780213.19,equipment.csv
125,2,Hospital Bed,Dräger,2019-02-07,2020-04-27,Under Maintenance,22589786.66,equipment.csv
126,2,Oxygen Concentrator,Dräger,2012-07-23,2013-07-07,Operational,24461756.25,equipment.csv
127,2,Dialysis Machine,GE Healthcare,2012-01-13,2012-12-26,Out of Service,16933150.04,equipment.csv
128,2,Defibrillator,Philips,2011-07-17,2013-05-10,Operational,18109696.22,equipment.csv
129,2,Operating Table,Medtronic,2014-05-20,2015-12-17,Out of Service,13427885.86,equipment.csv
130,2,Infusion Pump,Baxter,2018-09-16,2019-09-23,Under Maintenance,8778892.63,equipment.csv
131,2,Hospital Bed,Baxter,2014-02-08,2015-03-28,Operational,4528401.55,equipment.csv
132,2,Oxygen Concentrator,Siemens,2018-10-15,2020-03-05,Out of Service,17960628.53,equipment.csv
133,2,MRI Scanner,Siemens,2015-12-02,2017-07-11,Out of Service,14080758.3,equipment.csv
134,2,Oxygen Concentrator,Siemens,2014-09-04,2016-07-25,Operational,12339971.69,equipment.csv
135,2,Hospital Bed,Baxter,2013-07-22,2015-02-14,Out of Service,22651494.8,equipment.csv
