inventory_id,hospital_id,medication_id,quantity_available,reorder_level,supplier,last_stock_update,source_file
1,1,113,1212,420,Phillips Healthcare,2026-06-27,pharmacy_inventory.csv
2,1,269,725,339,Phillips Healthcare,2026-04-19,pharmacy_inventory.csv
3,1,223,4217,450,Revital Healthcare,2026-04-29,pharmacy_inventory.csv
4,1,44,4811,332,KEMSA,2026-06-19,pharmacy_inventory.csv
5,1,128,4367,308,Phillips Healthcare,2026-06-22,pharmacy_inventory.csv
6,1,279,4900,328,Surgipharm,2026-06-01,pharmacy_inventory.csv
7,1,36,1691,444,Harleys Limited,2026-05-08,pharmacy_inventory.csv
8,1,162,2769,270,Surgipharm,2026-06-24,pharmacy_inventory.csv
9,1,67,3423,199,Phillips Healthcare,2026-04-20,pharmacy_inventory.csv
10,1,37,341,485,Phillips Healthcare,2026-05-17,pharmacy_inventory.csv
11,1,151,4391,155,Medisel Kenya,2026-04-06,pharmacy_inventory.csv
12,1,157,290,229,Medisel Kenya,2026-04-07,pharmacy_inventory.csv
13,1,130,4821,342,Surgipharm,2026-05-01,pharmacy_inventory.csv
14,1,197,633,497,Harleys Limited,2026-05-25,pharmacy_inventory.csv
15,1,62,361,451,Surgipharm,2026-05-13,pharmacy_inventory.csv
16,1,60,4042,384,Revital Healthcare,2026-05-16,pharmacy_inventory.csv
17,1,282,239,331,KEMSA,2026-06-22,pharmacy_inventory.csv
18,1,281,3941,253,KEMSA,2026-05-11,pharmacy_inventory.csv
19,1,273,3788,106,Revital Healthcare,2026-05-15,pharmacy_inventory.csv
20,1,15,952,355,Harleys Limited,2026-06-25,pharmacy_inventory.csv
21,1,6,1215,340,Lab & Allied,2026-04-10,pharmacy_inventory.csv
22,1,101,192,112,Lab & Allied,2026-05-12,pharmacy_inventory.csv
23,1,22,4879,316,Lab & Allied,2026-06-08,pharmacy_inventory.csv
24,1,209,2875,477,Revital Healthcare,2026-06-14,pharmacy_inventory.csv
25,1,248,3567,188,Lab & Allied,2026-06-16,pharmacy_inventory.csv
26,1,262,1559,353,Lab & Allied,2026-04-29,pharmacy_inventory.csv
27,1,23,4494,395,Phillips Healthcare,2026-05-04,pharmacy_inventory.csv
28,1,109,1778,443,KEMSA,2026-04-13,pharmacy_inventory.csv
29,1,171,3085,417,Surgipharm,2026-05-20,pharmacy_inventory.csv
30,1,215,3916,319,Harleys Limited,2026-04-16,pharmacy_inventory.csv
31,1,84,2137,465,Lab & Allied,2026-05-18,pharmacy_inventory.csv
32,1,16,43,240,Surgipharm,2026-05-22,pharmacy_inventory.csv
33,1,82,4801,227,Harleys Limited,2026-06-16,pharmacy_inventory.csv
34,1,246,4401,399,KEMSA,2026-06-02,pharmacy_inventory.csv
35,1,152,3393,361,KEMSA,2026-04-27,pharmacy_inventory.csv
36,1,46,4291,196,Harleys Limited,2026-04-14,pharmacy_inventory.csv
37,1,190,3933,152,Phillips Healthcare,2026-05-27,pharmacy_inventory.csv
